Date : 2023-03-05 16:05:46
Directory : e:\Graphics\Toy\SoftRenderer
Total : 1984 files,  433640 codes, 65246 comments, 59524 blanks, all 558410 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| 3rdparty\glm\test\perf                                                                                                |          6 |        681 |          0 |        240 |        921 |
| 3rdparty\imgui                                                                                                        |        151 |     66,602 |     18,600 |     10,301 |     95,503 |
| 3rdparty\imgui (Files)                                                                                                |         11 |     43,449 |     10,116 |      6,174 |     59,739 |
| 3rdparty\imgui\.github                                                                                                |          6 |        416 |         70 |        141 |        627 |
| 3rdparty\imgui\.github (Files)                                                                                        |          3 |         32 |          0 |         24 |         56 |
| 3rdparty\imgui\.github\workflows                                                                                      |          3 |        384 |         70 |        117 |        571 |
| 3rdparty\imgui\backends                                                                                               |         38 |     11,889 |      2,411 |      1,727 |     16,027 |
| 3rdparty\imgui\backends (Files)                                                                                       |         37 |     11,887 |      2,407 |      1,726 |     16,020 |
| 3rdparty\imgui\backends\vulkan                                                                                        |          1 |          2 |          4 |          1 |          7 |
| 3rdparty\imgui\docs                                                                                                   |          6 |      1,335 |          0 |        450 |      1,785 |
| 3rdparty\imgui\examples                                                                                               |         83 |      8,547 |      5,782 |      1,603 |     15,932 |
| 3rdparty\imgui\examples\example_allegro5                                                                              |          4 |        291 |         50 |         36 |        377 |
| 3rdparty\imgui\examples\example_android_opengl3                                                                       |          5 |        314 |         69 |         83 |        466 |
| 3rdparty\imgui\examples\example_android_opengl3 (Files)                                                               |          1 |        241 |         69 |         69 |        379 |
| 3rdparty\imgui\examples\example_android_opengl3\android                                                               |          4 |         73 |          0 |         14 |         87 |
| 3rdparty\imgui\examples\example_android_opengl3\android (Files)                                                       |          2 |         21 |          0 |          6 |         27 |
| 3rdparty\imgui\examples\example_android_opengl3\android\app                                                           |          2 |         52 |          0 |          8 |         60 |
| 3rdparty\imgui\examples\example_android_opengl3\android\app (Files)                                                   |          1 |         31 |          0 |          4 |         35 |
| 3rdparty\imgui\examples\example_android_opengl3\android\app\src                                                       |          1 |         21 |          0 |          4 |         25 |
| 3rdparty\imgui\examples\example_android_opengl3\android\app\src\main                                                  |          1 |         21 |          0 |          4 |         25 |
| 3rdparty\imgui\examples\example_apple_metal                                                                           |          4 |        351 |         53 |         79 |        483 |
| 3rdparty\imgui\examples\example_apple_metal (Files)                                                                   |          2 |        233 |         51 |         77 |        361 |
| 3rdparty\imgui\examples\example_apple_metal\iOS                                                                       |          1 |         26 |          1 |          1 |         28 |
| 3rdparty\imgui\examples\example_apple_metal\macOS                                                                     |          1 |         92 |          1 |          1 |         94 |
| 3rdparty\imgui\examples\example_apple_opengl2                                                                         |          1 |        171 |         45 |         54 |        270 |
| 3rdparty\imgui\examples\example_emscripten_wgpu                                                                       |          3 |        216 |         79 |         64 |        359 |
| 3rdparty\imgui\examples\example_glfw_metal                                                                            |          2 |        142 |         48 |         48 |        238 |
| 3rdparty\imgui\examples\example_glfw_opengl2                                                                          |          4 |        329 |         79 |         50 |        458 |
| 3rdparty\imgui\examples\example_glfw_opengl3                                                                          |          4 |        358 |         86 |         52 |        496 |
| 3rdparty\imgui\examples\example_glfw_vulkan                                                                           |          4 |        630 |         85 |         80 |        795 |
| 3rdparty\imgui\examples\example_glut_opengl2                                                                          |          3 |        305 |         68 |         44 |        417 |
| 3rdparty\imgui\examples\example_null                                                                                  |          3 |         87 |         22 |         26 |        135 |
| 3rdparty\imgui\examples\example_sdl2_directx11                                                                        |          3 |        353 |         56 |         38 |        447 |
| 3rdparty\imgui\examples\example_sdl2_metal                                                                            |          2 |        153 |         51 |         47 |        251 |
| 3rdparty\imgui\examples\example_sdl2_opengl2                                                                          |          5 |        358 |         72 |         58 |        488 |
| 3rdparty\imgui\examples\example_sdl2_opengl3                                                                          |          5 |        414 |         85 |         67 |        566 |
| 3rdparty\imgui\examples\example_sdl2_sdlrenderer                                                                      |          5 |        339 |         69 |         54 |        462 |
| 3rdparty\imgui\examples\example_sdl2_vulkan                                                                           |          3 |        626 |         83 |         76 |        785 |
| 3rdparty\imgui\examples\example_sdl3_opengl3                                                                          |          5 |        411 |         79 |         67 |        557 |
| 3rdparty\imgui\examples\example_win32_directx10                                                                       |          3 |        353 |         54 |         39 |        446 |
| 3rdparty\imgui\examples\example_win32_directx11                                                                       |          3 |        365 |         62 |         41 |        468 |
| 3rdparty\imgui\examples\example_win32_directx12                                                                       |          3 |        536 |         62 |         72 |        670 |
| 3rdparty\imgui\examples\example_win32_directx9                                                                        |          3 |        355 |         56 |         40 |        451 |
| 3rdparty\imgui\examples\libs                                                                                          |          6 |      1,090 |      4,369 |        388 |      5,847 |
| 3rdparty\imgui\examples\libs\emscripten                                                                               |          2 |         76 |         25 |          3 |        104 |
| 3rdparty\imgui\examples\libs\glfw                                                                                     |          2 |        552 |      3,913 |        220 |      4,685 |
| 3rdparty\imgui\examples\libs\glfw\include                                                                             |          2 |        552 |      3,913 |        220 |      4,685 |
| 3rdparty\imgui\examples\libs\glfw\include\GLFW                                                                        |          2 |        552 |      3,913 |        220 |      4,685 |
| 3rdparty\imgui\examples\libs\usynergy                                                                                 |          2 |        462 |        431 |        165 |      1,058 |
| 3rdparty\imgui\misc                                                                                                   |          7 |        966 |        221 |        206 |      1,393 |
| 3rdparty\imgui\misc\cpp                                                                                               |          2 |         63 |         13 |         16 |         92 |
| 3rdparty\imgui\misc\fonts                                                                                             |          1 |        283 |         43 |         63 |        389 |
| 3rdparty\imgui\misc\freetype                                                                                          |          3 |        606 |        157 |        124 |        887 |
| 3rdparty\imgui\misc\single_file                                                                                       |          1 |         14 |          8 |          3 |         25 |
| 3rdparty\spdlog                                                                                                       |        153 |     37,850 |      4,166 |      7,428 |     49,444 |
| 3rdparty\spdlog (Files)                                                                                               |          2 |        535 |          0 |         76 |        611 |
| 3rdparty\spdlog\.github                                                                                               |          1 |         77 |          0 |          5 |         82 |
| 3rdparty\spdlog\.github\workflows                                                                                     |          1 |         77 |          0 |          5 |         82 |
| 3rdparty\spdlog\bench                                                                                                 |          5 |        512 |        106 |        100 |        718 |
| 3rdparty\spdlog\cmake                                                                                                 |          3 |        124 |          0 |         19 |        143 |
| 3rdparty\spdlog\example                                                                                               |          1 |        271 |         70 |         51 |        392 |
| 3rdparty\spdlog\include                                                                                               |        103 |     20,059 |      2,768 |      3,466 |     26,293 |
| 3rdparty\spdlog\include\spdlog                                                                                        |        103 |     20,059 |      2,768 |      3,466 |     26,293 |
| 3rdparty\spdlog\include\spdlog (Files)                                                                                |         16 |      2,745 |        404 |        598 |      3,747 |
| 3rdparty\spdlog\include\spdlog\cfg                                                                                    |          4 |        145 |         53 |         37 |        235 |
| 3rdparty\spdlog\include\spdlog\details                                                                                |         27 |      2,361 |        270 |        527 |      3,158 |
| 3rdparty\spdlog\include\spdlog\fmt                                                                                    |         23 |     12,340 |      1,703 |      1,728 |     15,771 |
| 3rdparty\spdlog\include\spdlog\fmt (Files)                                                                            |          8 |        287 |         80 |         55 |        422 |
| 3rdparty\spdlog\include\spdlog\fmt\bundled                                                                            |         15 |     12,053 |      1,623 |      1,673 |     15,349 |
| 3rdparty\spdlog\include\spdlog\sinks                                                                                  |         33 |      2,468 |        338 |        576 |      3,382 |
| 3rdparty\spdlog\logos                                                                                                 |          1 |         43 |          0 |          1 |         44 |
| 3rdparty\spdlog\scripts                                                                                               |          3 |         30 |          3 |         15 |         48 |
| 3rdparty\spdlog\src                                                                                                   |          7 |        133 |         25 |         46 |        204 |
| 3rdparty\spdlog\tests                                                                                                 |         27 |     16,066 |      1,194 |      3,649 |     20,909 |
| 3rdparty\stb                                                                                                          |          1 |      7,141 |      1,268 |        842 |      9,251 |
| 3rdparty\tinyobjloader                                                                                                |         67 |     20,189 |      5,827 |      4,162 |     30,178 |
| 3rdparty\tinyobjloader (Files)                                                                                        |         12 |      3,348 |        591 |        753 |      4,692 |
| 3rdparty\tinyobjloader\.github                                                                                        |          2 |         23 |          0 |          8 |         31 |
| 3rdparty\tinyobjloader\.github\ISSUE_TEMPLATE                                                                         |          2 |         23 |          0 |          8 |         31 |
| 3rdparty\tinyobjloader\deps                                                                                           |          1 |      2,979 |      2,673 |        672 |      6,324 |
| 3rdparty\tinyobjloader\examples                                                                                       |         19 |      7,966 |      1,642 |      1,353 |     10,961 |
| 3rdparty\tinyobjloader\examples\callback_api                                                                          |          2 |        126 |         18 |         31 |        175 |
| 3rdparty\tinyobjloader\examples\obj_sticher                                                                           |          4 |        280 |         35 |         62 |        377 |
| 3rdparty\tinyobjloader\examples\skin_weight                                                                           |          3 |         82 |          4 |         29 |        115 |
| 3rdparty\tinyobjloader\examples\viewer                                                                                |          6 |      6,826 |      1,533 |      1,085 |      9,444 |
| 3rdparty\tinyobjloader\examples\voxelize                                                                              |          4 |        652 |         52 |        146 |        850 |
| 3rdparty\tinyobjloader\experimental                                                                                   |         11 |      2,252 |        544 |        524 |      3,320 |
| 3rdparty\tinyobjloader\experimental (Files)                                                                           |          6 |      1,977 |        533 |        453 |      2,963 |
| 3rdparty\tinyobjloader\experimental\lfpAlloc                                                                          |          5 |        275 |         11 |         71 |        357 |
| 3rdparty\tinyobjloader\fuzzer                                                                                         |          5 |         81 |          0 |         34 |        115 |
| 3rdparty\tinyobjloader\fuzzer (Files)                                                                                 |          3 |         72 |          0 |         28 |        100 |
| 3rdparty\tinyobjloader\fuzzer\regression_runner                                                                       |          2 |          9 |          0 |          6 |         15 |
| 3rdparty\tinyobjloader\jni                                                                                            |          3 |         10 |          2 |          7 |         19 |
| 3rdparty\tinyobjloader\mapbox                                                                                         |          1 |        608 |         66 |        147 |        821 |
| 3rdparty\tinyobjloader\python                                                                                         |          5 |        243 |         57 |         80 |        380 |
| 3rdparty\tinyobjloader\tests                                                                                          |          8 |      2,679 |        252 |        584 |      3,515 |
| Editor                                                                                                                |          1 |         63 |          1 |         10 |         74 |
| Editor\src                                                                                                            |          1 |         63 |          1 |         10 |         74 |
| Renderer                                                                                                              |          8 |        370 |         22 |         75 |        467 |
| Renderer\src                                                                                                          |          8 |        370 |         22 |         75 |        467 |
| Renderer\src (Files)                                                                                                  |          1 |         45 |          0 |          7 |         52 |
| Renderer\src\Geometry                                                                                                 |          3 |        139 |         18 |         31 |        188 |
| Renderer\src\Rasterization                                                                                            |          2 |        172 |          4 |         33 |        209 |
| Renderer\src\RayTracing                                                                                               |          1 |          0 |          0 |          1 |          1 |
| Renderer\src\Texture                                                                                                  |          1 |         14 |          0 |          3 |         17 |
| Walnut                                                                                                                |         10 |      1,040 |         88 |        240 |      1,368 |
| Walnut\src                                                                                                            |         10 |      1,040 |         88 |        240 |      1,368 |
| Walnut\src\Walnut                                                                                                     |         10 |      1,040 |         88 |        240 |      1,368 |
| Walnut\src\Walnut (Files)                                                                                             |          9 |      1,038 |         88 |        240 |      1,366 |
| Walnut\src\Walnut\ImGui                                                                                               |          1 |          2 |          0 |          0 |          2 |
| build                                                                                                                 |         31 |      6,397 |        118 |        508 |      7,023 |
| build (Files)                                                                                                         |          4 |        686 |          0 |        122 |        808 |
| build\.cmake                                                                                                          |         12 |      3,745 |          0 |         11 |      3,756 |
| build\.cmake\api                                                                                                      |         12 |      3,745 |          0 |         11 |      3,756 |
| build\.cmake\api\v1                                                                                                   |         12 |      3,745 |          0 |         11 |      3,756 |
| build\.cmake\api\v1\query                                                                                             |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query\client-vscode                                                                               |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\reply                                                                                             |         11 |      3,744 |          0 |         11 |      3,755 |
| build\3rdparty                                                                                                        |          4 |        130 |          0 |         27 |        157 |
| build\3rdparty\glfw                                                                                                   |          4 |        130 |          0 |         27 |        157 |
| build\3rdparty\glfw (Files)                                                                                           |          1 |         37 |          0 |          8 |         45 |
| build\3rdparty\glfw\src                                                                                               |          3 |         93 |          0 |         19 |        112 |
| build\CMakeFiles                                                                                                      |         11 |      1,836 |        118 |        348 |      2,302 |
| build\CMakeFiles (Files)                                                                                              |          3 |        550 |          0 |         56 |        606 |
| build\CMakeFiles\3.20.4                                                                                               |          6 |      1,284 |        118 |        289 |      1,691 |
| build\CMakeFiles\3.20.4 (Files)                                                                                       |          4 |        153 |          0 |         41 |        194 |
| build\CMakeFiles\3.20.4\CompilerIdC                                                                                   |          1 |        570 |         58 |        125 |        753 |
| build\CMakeFiles\3.20.4\CompilerIdCXX                                                                                 |          1 |        561 |         60 |        123 |        744 |
| build\CMakeFiles\ShowIncludes                                                                                         |          2 |          2 |          0 |          3 |          5 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                              | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\.appveyor.yml                                                              | YAML             |         47 |          0 |          1 |         48 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\.github\workflows\build.yml                                                | YAML             |         81 |          0 |         14 |         95 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CMake\GenerateMappings.cmake                                               | CMake            |         40 |          0 |          9 |         49 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CMake\i686-w64-mingw32-clang.cmake                                         | CMake            |         12 |          0 |          2 |         14 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CMake\i686-w64-mingw32.cmake                                               | CMake            |         12 |          0 |          2 |         14 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CMake\modules\FindEpollShim.cmake                                          | CMake            |         14 |          0 |          4 |         18 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CMake\modules\FindOSMesa.cmake                                             | CMake            |         14 |          0 |          5 |         19 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CMake\x86_64-w64-mingw32-clang.cmake                                       | CMake            |         12 |          0 |          2 |         14 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CMake\x86_64-w64-mingw32.cmake                                             | CMake            |         12 |          0 |          2 |         14 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\CONTRIBUTORS.md                                                            | Markdown         |        265 |          0 |          4 |        269 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\LICENSE.md                                                                 | Markdown         |         16 |          0 |          8 |         24 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\README.md                                                                  | Markdown         |        375 |          0 |         46 |        421 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\getopt.c                                                              | C                |        109 |         89 |         33 |        231 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\getopt.h                                                              | C++              |         23 |         25 |         10 |         58 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\glad\gl.h                                                             | C++              |      5,658 |        183 |        156 |      5,997 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\glad\gles2.h                                                          | C++              |      1,467 |        183 |        156 |      1,806 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\glad\vulkan.h                                                         | C++              |      5,835 |         72 |        424 |      6,331 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\linmath.h                                                             | C++              |        518 |         20 |         69 |        607 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\mingw\_mingw_dxhelper.h                                               | C++              |        102 |          6 |         10 |        118 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\mingw\dinput.h                                                        | C++              |      2,090 |        188 |        190 |      2,468 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\mingw\xinput.h                                                        | C++              |        128 |         79 |         33 |        240 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\nuklear.h                                                             | C++              |     18,935 |      4,984 |      1,860 |     25,779 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\nuklear_glfw_gl2.h                                                    | C++              |        311 |         28 |         43 |        382 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\stb_image_write.h                                                     | C++              |      1,242 |        315 |        168 |      1,725 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\tinycthread.c                                                         | C                |        472 |         60 |         63 |        595 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\tinycthread.h                                                         | C++              |        138 |        255 |         51 |        444 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\deps\vs2008\stdint.h                                                       | C++              |        152 |         55 |         41 |        248 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\CONTRIBUTING.md                                                       | Markdown         |        281 |          0 |        111 |        392 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\DoxygenLayout.xml                                                     | XML              |         63 |          5 |          4 |         72 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\SUPPORT.md                                                            | Markdown         |         10 |          0 |          5 |         15 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\extra.css                                                             | CSS              |          1 |          1 |          1 |          3 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\extra.scss                                                            | SCSS             |        330 |         28 |         92 |        450 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\footer.html                                                           | HTML             |          7 |          0 |          1 |          8 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\header.html                                                           | HTML             |         30 |          3 |          2 |         35 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\docs\spaces.svg                                                            | XML              |        875 |          1 |          2 |        878 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\boing.c                                                           | C                |        388 |        171 |        122 |        681 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\gears.c                                                           | C                |        244 |         55 |         63 |        362 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\heightmap.c                                                       | C                |        350 |        101 |         63 |        514 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\offscreen.c                                                       | C                |        107 |         26 |         33 |        166 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\particles.c                                                       | C                |        650 |        222 |        203 |      1,075 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\sharing.c                                                         | C                |        153 |         33 |         50 |        236 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\splitview.c                                                       | C                |        332 |        103 |        113 |        548 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\triangle-opengl.c                                                 | C                |        114 |         27 |         31 |        172 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\triangle-opengles.c                                               | C                |        117 |         24 |         30 |        171 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\wave.c                                                            | C                |        286 |         82 |         96 |        464 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\examples\windows.c                                                         | C                |         66 |         24 |         17 |        107 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\include\GLFW\glfw3.h                                                       | C++              |        648 |      5,513 |        264 |      6,425 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\include\GLFW\glfw3native.h                                                 | C++              |         96 |        495 |         44 |        635 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\src\cocoa_init.m                                                           | Objective-C      |        542 |         57 |         99 |        698 |
| e:\Graphics\Toy\SoftRenderer\3rdparty\glfw\src\cocoa_joystick.h                                                       | C++              |         17 |         27 |          6 |         50 |
